state,title,url,date
IL,The pandemic is changing how we think about the future of work,https://independentworkil.org/the-pandemic-is-changing-how-we-think-about-the-future-of-work/,"March 1, 2021"
IL,Illinois Coalition for Independent Work Gains Additional Support,https://independentworkil.org/illinois-coalition-for-independent-work-gains-additional-support/,"March 1, 2021"
IL,Illinois Coalition for Independent Work Launches to Protect App-Based Workers’ Independence and Flexibility,https://independentworkil.org/illinois-coalition-for-independent-work-launches-to-protect-app-based-workers-independence-and-flexibility/,"January 19, 2021"
IL,Campaña por Trabajo Independiente de Illinois,https://independentworkil.org/campana-por-trabajo-independiente-de-illinois/,"January 18, 2021"
IL,Illinois Coalition for Independent Work Launches,https://independentworkil.org/illinois-coalition-for-independent-work-launches/,"January 13, 2021"
IL,Reclassifying ‘gig’ workers is a bad idea,https://independentworkil.org/reclassifying-gig-workers-is-a-bad-idea/,"January 1, 2021"
IL,Establishing the Dasher Empowerment Partnership with the National Urban League,https://independentworkil.org/establishing-the-dasher-empowerment-partnership-with-the-national-urban-league/,"December 3, 2020"
CO,"App-based works deserve benefits, but not a fixed schedule",https://static1.squarespace.com/static/602e851a2c11e85fefa2eae8/t/609ad4d33a5d70733cacf5ed/1620759771361/Pueblo+Chieftain+May+2.pdf,"May 2, 2021"
CO,"Ride-share, delivery workers value independence",https://denvergazette.com/opinion/columns/ride-share-delivery-workers-value-independence/article_a6218207-053b-54ad-8392-0f6776365ce8.html,"Apr 28, 2021"
CO,What’s Working: Gig companies want workers back and are paying bonuses in Colorado,https://coloradosun.com/2021/04/10/gig-economy-uber-lyft-unemployment-jobs-pay/,"Apr 10, 2021"
CO,"Poll finds Colorado app-based workers want flexibility, some benefits",https://independentworkco.org//blog-3-1/poll-finds-colorado-app-based-workers-want-flexibility-some-benefits,"Apr 2, 2021"
CO,The Colorado Coalition for Independent Work Launches to Advocate New Benefits for App-based Workers While Preserving The Flexibility They Value Most,https://independentworkco.org//s/CCIW-Press-Release-4121.pdf,"Apr 1, 2021"
CO,Lanzan la Coalición de Colorado por el Trabajo Independiente,https://independentworkco.org/s/CCIW-Press-Release-4121Spdocx.pdf,"Apr 1, 2021"
CO,Women who lost jobs due to COVID turn to food delivery platforms,https://www.cbsnews.com/news/women-unemployment-covid-food-delivery-doordash-instacart-ubereats-jobs/,"Feb 25, 2021"
CO,A look at food delivery one year into the COVID-19 pandemic,https://durangoherald.com/articles/364327,"Feb 12, 2021"
CO,Opinion: An Uber driver says gig workers should not have to compromise flexibility for benefits,https://coloradosun.com/2021/02/10/gig-economy-uber-opinion/,"Feb 10, 2021"
CO,Demand for Gig Workers Is Soaring During the Pandemic,https://www.5280.com/2021/01/demand-for-gig-workers-is-soaring-during-the-pandemic/,"Jan 12, 2021"
